"X","total_bill","tip","sex","smoker","day","time","size"
40,16.04,2.24,"Male","No","Sat","Dinner",3
210,30.06,2,"Male","Yes","Sat","Dinner",3
7,26.88,3.12,"Male","No","Sun","Dinner",4
103,22.42,3.48,"Female","Yes","Sat","Dinner",2
169,10.63,2,"Female","Yes","Sat","Dinner",2
141,34.3,6.7,"Male","No","Thur","Lunch",6
151,13.13,2,"Male","No","Sun","Dinner",2
11,35.26,5,"Female","No","Sun","Dinner",4
76,17.92,3.08,"Male","Yes","Sat","Dinner",2
209,12.76,2.23,"Female","Yes","Sat","Dinner",2
157,25,3.75,"Female","No","Sun","Dinner",4
73,25.28,5,"Female","Yes","Sat","Dinner",2
172,7.25,5.15,"Male","Yes","Sun","Dinner",2
77,27.2,4,"Male","No","Thur","Lunch",4
238,35.83,4.67,"Female","No","Sat","Dinner",3
119,24.08,2.92,"Female","No","Thur","Lunch",4
237,32.83,1.17,"Male","Yes","Sat","Dinner",2
29,19.65,3,"Female","No","Sat","Dinner",2
160,21.5,3.5,"Male","No","Sun","Dinner",4
215,12.9,1.1,"Female","Yes","Sat","Dinner",2
90,28.97,3,"Male","Yes","Fri","Dinner",2
66,16.45,2.47,"Female","No","Sat","Dinner",2
162,16.21,2,"Female","No","Sun","Dinner",3
167,31.71,4.5,"Male","No","Sun","Dinner",4
98,21.01,3,"Male","Yes","Fri","Dinner",2
31,18.35,2.5,"Male","No","Sat","Dinner",4
145,8.35,1.5,"Female","No","Thur","Lunch",2
30,9.55,1.45,"Male","No","Sat","Dinner",2
65,20.08,3.15,"Male","No","Sat","Dinner",3
69,15.01,2.09,"Male","Yes","Sat","Dinner",2
221,13.42,3.48,"Female","Yes","Fri","Lunch",2
32,15.06,3,"Female","No","Sat","Dinner",2
193,15.48,2.02,"Male","Yes","Thur","Lunch",2
120,11.69,2.31,"Male","No","Thur","Lunch",2
33,20.69,2.45,"Female","No","Sat","Dinner",4
10,10.27,1.71,"Male","No","Sun","Dinner",2
63,18.29,3.76,"Male","Yes","Sat","Dinner",4
8,15.04,1.96,"Male","No","Sun","Dinner",2
54,25.56,4.34,"Male","No","Sun","Dinner",4
9,14.78,3.23,"Male","No","Sun","Dinner",2
57,26.41,1.5,"Female","No","Sat","Dinner",2
143,27.05,5,"Female","No","Thur","Lunch",6
24,19.82,3.18,"Male","No","Sat","Dinner",2
131,20.27,2.83,"Female","No","Thur","Lunch",2
208,24.27,2.03,"Male","Yes","Sat","Dinner",2
189,23.1,4,"Male","Yes","Sun","Dinner",3
116,29.93,5.07,"Male","No","Sun","Dinner",4
187,30.46,2,"Male","Yes","Sun","Dinner",5
216,28.15,3,"Male","Yes","Sat","Dinner",5
47,32.4,6,"Male","No","Sun","Dinner",4
100,11.35,2.5,"Female","Yes","Fri","Dinner",2
174,16.82,4,"Male","Yes","Sun","Dinner",2
196,10.34,2,"Male","Yes","Thur","Lunch",2
56,38.01,3,"Male","Yes","Sat","Dinner",4
220,12.16,2.2,"Male","Yes","Fri","Lunch",2
144,16.43,2.3,"Female","No","Thur","Lunch",2
198,13,2,"Female","Yes","Thur","Lunch",2
12,15.42,1.57,"Male","No","Sun","Dinner",2
49,18.04,3,"Male","No","Sun","Dinner",2
192,28.44,2.56,"Male","Yes","Thur","Lunch",2
180,34.65,3.68,"Male","Yes","Sun","Dinner",4
78,22.76,3,"Male","No","Thur","Lunch",2
16,10.33,1.67,"Female","No","Sun","Dinner",3
89,21.16,3,"Male","No","Thur","Lunch",2
179,34.63,3.55,"Male","Yes","Sun","Dinner",2
137,14.15,2,"Female","No","Thur","Lunch",2
190,15.69,1.5,"Male","Yes","Sun","Dinner",2
123,15.95,2,"Male","No","Thur","Lunch",2
34,17.78,3.27,"Male","No","Sat","Dinner",2
3,23.68,3.31,"Male","No","Sun","Dinner",2
243,18.78,3,"Female","No","Thur","Dinner",2
84,15.98,2.03,"Male","No","Thur","Lunch",2
102,44.3,2.5,"Female","Yes","Sat","Dinner",3
55,19.49,3.51,"Male","No","Sun","Dinner",2
4,24.59,3.61,"Female","No","Sun","Dinner",4
154,19.77,2,"Male","No","Sun","Dinner",4
74,14.73,2.2,"Female","No","Sat","Dinner",2
111,7.25,1,"Female","No","Sat","Dinner",1
121,13.42,1.68,"Female","No","Thur","Lunch",2
59,48.27,6.73,"Male","No","Sat","Dinner",4
44,30.4,5.6,"Male","No","Sun","Dinner",4
139,13.16,2.75,"Female","No","Thur","Lunch",2
242,17.82,1.75,"Male","No","Sat","Dinner",2
82,10.07,1.83,"Female","No","Thur","Lunch",1
207,38.73,3,"Male","Yes","Sat","Dinner",4
183,23.17,6.5,"Male","Yes","Sun","Dinner",4
152,17.26,2.74,"Male","No","Sun","Dinner",3
99,12.46,1.5,"Male","No","Fri","Dinner",2
200,18.71,4,"Male","Yes","Thur","Lunch",3
35,24.06,3.6,"Male","No","Sat","Dinner",3
226,10.09,2,"Female","Yes","Fri","Lunch",2
6,8.77,2,"Male","No","Sun","Dinner",2
236,12.6,1,"Male","Yes","Sat","Dinner",2
203,16.4,2.5,"Female","Yes","Thur","Lunch",2
213,13.27,2.5,"Female","Yes","Sat","Dinner",2
161,12.66,2.5,"Male","No","Sun","Dinner",2
58,11.24,1.76,"Male","Yes","Sat","Dinner",2
37,16.93,3.07,"Female","No","Sat","Dinner",3
239,29.03,5.92,"Male","No","Sat","Dinner",3
118,12.43,1.8,"Female","No","Thur","Lunch",2
101,15.38,3,"Female","Yes","Fri","Dinner",2
185,20.69,5,"Male","No","Sun","Dinner",5
115,17.31,3.5,"Female","No","Sun","Dinner",2
233,10.77,1.47,"Male","No","Sat","Dinner",2
194,16.58,4,"Male","Yes","Thur","Lunch",2
64,17.59,2.64,"Male","No","Sat","Dinner",3
171,15.81,3.16,"Male","Yes","Sat","Dinner",2
13,18.43,3,"Male","No","Sun","Dinner",4
60,20.29,3.21,"Male","Yes","Sat","Dinner",2
132,11.17,1.5,"Female","No","Thur","Lunch",2
155,29.85,5.14,"Female","No","Sun","Dinner",5
197,43.11,5,"Female","Yes","Thur","Lunch",4
70,12.02,1.97,"Male","No","Sat","Dinner",2
205,16.47,3.23,"Female","Yes","Thur","Lunch",3
71,17.07,3,"Female","No","Sat","Dinner",3
113,23.95,2.55,"Male","No","Sun","Dinner",2
191,19.81,4.19,"Female","Yes","Thur","Lunch",2
163,13.81,2,"Male","No","Sun","Dinner",2
48,28.55,2.05,"Male","No","Sun","Dinner",3
41,17.46,2.54,"Male","No","Sun","Dinner",2
149,7.51,2,"Male","No","Thur","Lunch",2
23,39.42,7.58,"Male","No","Sat","Dinner",4
199,13.51,2,"Male","Yes","Thur","Lunch",2
22,15.77,2.23,"Female","No","Sat","Dinner",2
241,22.67,2,"Male","Yes","Sat","Dinner",2
229,22.12,2.88,"Female","Yes","Sat","Dinner",2
27,12.69,2,"Male","No","Sat","Dinner",2
175,32.9,3.11,"Male","Yes","Sun","Dinner",2
148,9.78,1.73,"Male","No","Thur","Lunch",2
228,13.28,2.72,"Male","No","Sat","Dinner",2
